id,name,email,phone,gpa,skills,education,college,location,category,past_internships,preferred_companies,github_profile,linkedin_profile,resume_score,availability_start,preferred_duration,expected_stipend,willingness_to_relocate,is_rural,is_female,experience,created_at
STU00272,Lata Chopra,latachopra272@email.com,+915801813179,6.18,"google cloud, photoshop, react, docker",B.Tech ECE,Manipal Institute,Noida,reserved,2,"Amazon, KPMG, Morgan Stanley",,,67.1,2025-10-28,12,55377,No,False,True,4,2025-09-18T14:12:36.360473
STU00273,Ravi Aggarwal,ravi273@college.ac.in,04471768946,8.89,"c++, ansible, terraform, express.js, azure",B.Tech CSE,IIT Kharagpur,Jaipur,reserved,0,"Deloitte, BYJU'S, Amazon",https://github.com/raviaggarwal273,https://linkedin.com/in/ravi-aggarwal-273,81.2,2025-10-30,12,34659,No,False,True,4,2025-09-06T14:12:36.360473
STU00274,Aadhya Jain,aadhya.jain@student.edu,06124280158,8.58,"mysql, elasticsearch, node.js, google cloud, penetration testing, java, oracle, mongodb, network security, redis, natural language processing",MCA,IIT Bombay,Pune,general,4,"Goldman Sachs, Wipro, TCS, Swiggy",https://github.com/aadhyajain274,,87.7,2025-10-28,12,27945,Yes,False,True,1,2025-09-15T14:12:36.361472
STU00275,Kavya F. Rajput,kavya.rajput@student.edu,+910311007867,7.26,"node.js, spring boot, c#, firewall, ethical hacking, ui/ux design, flask, express.js",B.Sc Computer Science,IIIT Hyderabad,Jaipur,general,2,"Wipro, Tech Mahindra, HDFC Bank, Amazon, PhonePe, Apple",https://github.com/kavyarajput275,https://linkedin.com/in/kavya-rajput-275,73.0,2025-11-24,6,76855,Preferred,False,False,17,2025-09-05T14:12:36.361472
STU00276,Kartik Z. Iyer,kartik.iyer@student.edu,+911435385137,6.33,"ios, figma, kubernetes, google cloud, react native, kotlin, vue.js, xamarin",B.Sc Computer Science,NIT Calicut,Bangalore,general,1,"TCS, Morgan Stanley, Flipkart, Freshworks",https://github.com/kartikiyer276,https://linkedin.com/in/kartik-iyer-276,75.2,2025-12-14,3,51847,No,False,False,14,2025-09-13T14:12:36.361472
STU00277,Geeta Goel,geetagoel277@email.com,7115054008,8.41,"photoshop, r, c#, pytorch, react native, cryptography, pandas, scikit-learn, deep learning",B.Tech CSE,BMS College,Chennai,general,2,"Accenture, HCL Technologies, Tech Mahindra, PwC",https://github.com/geetagoel277,https://linkedin.com/in/geeta-goel-277,75.4,2025-11-20,12,60792,Yes,False,False,20,2025-09-03T14:12:36.362484
STU00278,Karan Saxena,saxena.karan@gmail.com,+915108214402,6.19,"r, numpy, project management, java, kotlin, react, scikit-learn, mongodb, machine learning, deep learning",B.Sc Computer Science,BITS Pilani,Chennai,female,1,"BYJU'S, Axis Bank, Zomato, PhonePe, TCS, Morgan Stanley, PwC",,,93.1,2025-11-23,6,18887,No,False,True,10,2025-08-29T14:12:36.362484
STU00279,Rohan Singh,singh.rohan@gmail.com,+915916360932,8.58,"spring boot, neural networks, django, adobe illustrator, deep learning",B.Tech ECE,Manipal Institute,Delhi,rural,3,"Goldman Sachs, PhonePe, JP Morgan, Tech Mahindra, Google",https://github.com/rohansingh279,https://linkedin.com/in/rohan-singh-279,93.3,2025-11-17,3,55718,Yes,True,True,0,2025-08-31T14:12:36.362484
STU00280,Pari Agarwal,pariagarwal280@email.com,6384682136,6.95,"reinforcement learning, excel, tableau, adobe illustrator, project management",B.Tech CSE,NIT Surathkal,Chennai,rural,1,"Ola, EY, HCL Technologies",https://github.com/pariagarwal280,https://linkedin.com/in/pari-agarwal-280,80.9,2025-12-07,6,18527,Preferred,True,True,8,2025-09-19T14:12:36.363484
STU00281,Reyansh V. Yadav,reyansh.yadav@student.edu,8218928388,6.88,"elasticsearch, postgresql, penetration testing, ethical hacking, wireframing, cryptography, react, network security",B.E Computer Science,IIIT Hyderabad,Kolkata,general,1,"PwC, Freshworks, KPMG, BYJU'S",https://github.com/reyanshyadav281,https://linkedin.com/in/reyansh-yadav-281,65.5,2025-12-20,6,23427,Preferred,False,False,22,2025-09-12T14:12:36.363484
STU00282,Aahan Joshi,joshi.aahan@gmail.com,02030156806,9.35,"mysql, elasticsearch, jenkins, oracle, cassandra, react, redis, machine learning, sap",M.Tech AI/ML,NIT Warangal,Hyderabad,general,0,"Netflix, Paytm, McKinsey, HCL Technologies, Freshworks, Flipkart, Wipro",,https://linkedin.com/in/aahan-joshi-282,62.3,2025-12-19,6,20989,Yes,False,True,15,2025-09-11T14:12:36.363484
STU00283,Ajay Z. Kapoor,ajay.kapoor@student.edu,+914087246643,6.88,"reinforcement learning, r, computer vision, neural networks, scikit-learn, django",B.Tech IT,SRM Chennai,Jaipur,reserved,2,"TCS, PhonePe, Ola",,,93.8,2025-10-29,6,58147,No,False,True,14,2025-08-29T14:12:36.363484
STU00284,Sneha Nair,snehanair284@email.com,4121525321,7.33,"google cloud, c++, computer vision, angular, vue.js, express.js, project management",B.E Computer Science,PES University,Delhi,female,3,"KPMG, Ola, JP Morgan, PwC, TCS, Deloitte",https://github.com/snehanair284,,86.0,2025-11-28,6,69077,Preferred,False,True,3,2025-09-02T14:12:36.364481
STU00285,Riya V. Patel,riya285@college.ac.in,2138052141,8.86,"python, kubernetes, penetration testing, firewall, ethical hacking, power bi, cryptography, network security, business analysis, sap",M.Tech CSE,IIIT Hyderabad,Ahmedabad,female,3,"Swiggy, JP Morgan, ICICI Bank, Axis Bank, Ola, Netflix, Zomato",https://github.com/riyapatel285,https://linkedin.com/in/riya-patel-285,61.5,2025-12-15,12,20850,Yes,False,True,12,2025-08-28T14:12:36.364481
STU00286,Myra Agarwal,myra.agarwal@student.edu,04063659176,7.51,"xamarin, sketch, postgresql, python, oracle, cassandra, react native, mongodb, redis, machine learning",MCA,SRM Chennai,Pune,rural,1,"Paytm, Google, Amazon, KPMG, Wipro",https://github.com/myraagarwal286,https://linkedin.com/in/myra-agarwal-286,73.9,2025-12-25,6,37447,Yes,True,False,3,2025-09-15T14:12:36.364481
STU00287,Priya Jain,priya287@college.ac.in,6580974991,7.77,"reinforcement learning, c++, rust, c#, php, tableau, project management",BCA,IIT Bombay,Bangalore,general,1,"HCL Technologies, Goldman Sachs, Infosys",https://github.com/priyajain287,https://linkedin.com/in/priya-jain-287,79.0,2025-11-22,12,22520,No,False,True,20,2025-09-13T14:12:36.364481
STU00288,Sunita Patel,sunita.patel@student.edu,02833030662,7.22,"node.js, c++, penetration testing, firewall, network security, powerpoint, azure",B.Tech CSE,NIT Warangal,Chennai,reserved,1,"Amazon, Wipro, Apple, Microsoft, Paytm",https://github.com/sunitapatel288,,80.3,2025-12-12,6,24259,No,False,True,23,2025-09-12T14:12:36.365481
STU00289,Krishna Thakur,krishna289@college.ac.in,04382615008,8.97,"mysql, elasticsearch, powerpoint, excel, jenkins, c++, pytorch, oracle, cassandra, redis, express.js",M.Tech AI/ML,IIT Guwahati,Chennai,general,2,"Apple, Swiggy, Axis Bank",https://github.com/krishnathakur289,https://linkedin.com/in/krishna-thakur-289,84.1,2025-10-27,6,20763,No,False,True,5,2025-09-18T14:12:36.365481
STU00290,Pari U. Sharma,pari290@college.ac.in,07244813745,7.33,"redis, mysql, postgresql, mongodb",MBA,IIT Guwahati,Jaipur,general,2,"KPMG, TCS, ICICI Bank, JP Morgan, Ola, Zomato, Meta, Deloitte",https://github.com/parisharma290,,88.3,2025-11-24,12,77906,Yes,False,False,20,2025-09-05T14:12:36.365481
STU00291,Sunita R. Tiwari,sunita.tiwari@student.edu,08755430414,7.05,"ios, swift, excel, terraform, pytorch, docker, tableau, business analysis, powerpoint, django, project management",MCA,IIT Delhi,Gurgaon,general,4,"Google, Meta, Freshworks, Ola, Tech Mahindra, HDFC Bank",https://github.com/sunitatiwari291,,80.2,2025-11-23,6,62225,No,False,False,2,2025-08-30T14:12:36.365481
STU00292,Ishaan Malhotra,ishaan.malhotra@student.edu,09787007854,6.87,"ios, elasticsearch, reinforcement learning, google cloud, computer vision, ruby, vue.js, neural networks, natural language processing",B.Tech CSE,IIIT Hyderabad,Ahmedabad,general,2,"EY, Unacademy, Google, BYJU'S, Ola, Freshworks, Amazon, Accenture",https://github.com/ishaanmalhotra292,https://linkedin.com/in/ishaan-malhotra-292,68.3,2025-11-16,3,24529,Preferred,False,True,4,2025-09-07T14:12:36.366481
STU00293,Aditya Mishra,aditya.mishra@student.edu,01729909968,6.74,"aws, postgresql, google cloud, c#, redis, azure",B.Tech CSE,NIT Warangal,Delhi,reserved,2,"Morgan Stanley, Microsoft, Tech Mahindra, HDFC Bank, Paytm, Wipro, Goldman Sachs, Cognizant",https://github.com/adityamishra293,https://linkedin.com/in/aditya-mishra-293,82.9,2025-10-28,3,74392,Preferred,False,False,9,2025-09-19T14:12:36.366481
STU00294,Nisha Q. Shah,shah.nisha@gmail.com,+916193704832,7.62,"mysql, reinforcement learning, numpy, computer vision, oracle, network security, neural networks, natural language processing, project management",B.Sc Computer Science,PES University,Chennai,female,1,"Axis Bank, Goldman Sachs, TCS, Netflix, Microsoft, PhonePe",https://github.com/nishashah294,https://linkedin.com/in/nisha-shah-294,75.2,2025-11-17,12,72529,Preferred,False,True,24,2025-08-30T14:12:36.367492
STU00295,Nisha Nair,nishanair295@email.com,+915373850225,7.58,"ios, reinforcement learning, photoshop, firewall, computer vision, neural networks, javascript",M.Tech AI/ML,IIT Kharagpur,Jaipur,general,2,"Apple, PwC, Flipkart, Amazon, JP Morgan",https://github.com/nishanair295,https://linkedin.com/in/nisha-nair-295,63.1,2025-11-10,3,21732,Yes,False,True,24,2025-09-22T14:12:36.367492
STU00296,Atharv G. Rajput,atharv296@college.ac.in,5132683219,6.67,"elasticsearch, android, cassandra, tableau, powerpoint, adobe illustrator, project management",B.Tech CSE,VIT Vellore,Chennai,reserved,0,"Unacademy, HCL Technologies, KPMG, Cognizant, Ola, TCS, Infosys, PhonePe",https://github.com/atharvrajput296,,79.8,2025-11-26,3,31228,No,False,True,23,2025-09-12T14:12:36.367492
STU00297,Anaya U. Jain,anaya.jain@student.edu,00588033926,9.16,"aws, flask, java, c#, deep learning, docker, pandas, go, javascript",B.E Computer Science,IIIT Hyderabad,Noida,general,0,"EY, TCS, Microsoft, PhonePe, Swiggy, Goldman Sachs",https://github.com/anayajain297,https://linkedin.com/in/anaya-jain-297,80.3,2025-12-22,12,77083,Preferred,False,False,19,2025-09-08T14:12:36.368702
STU00298,Sneha Mittal,snehamittal298@email.com,3632793661,6.48,"jenkins, google cloud, computer vision, ansible, azure",B.Sc Computer Science,NIT Trichy,Mumbai,general,2,"Morgan Stanley, ICICI Bank, Goldman Sachs, TCS, KPMG, Deloitte",https://github.com/snehamittal298,https://linkedin.com/in/sneha-mittal-298,64.1,2025-12-13,6,46006,Yes,False,True,3,2025-08-30T14:12:36.368702
STU00299,Riya Chopra,chopra.riya@gmail.com,+910058516802,8.35,"reinforcement learning, android, computer vision, powerpoint, scikit-learn",MCA,IIT Kharagpur,Delhi,general,3,"McKinsey, Infosys, Google",https://github.com/riyachopra299,https://linkedin.com/in/riya-chopra-299,88.9,2025-11-26,3,46999,Yes,False,True,3,2025-09-02T14:12:36.368702
STU00300,Pooja E. Chopra,pooja.chopra@student.edu,09347929733,8.98,"flutter, react native, ansible, kotlin, tableau, natural language processing",B.Tech ECE,VIT Vellore,Delhi,general,2,"McKinsey, Amazon, TCS, KPMG, Goldman Sachs, Apple",,,91.5,2025-12-04,6,58169,Yes,False,False,17,2025-09-06T14:12:36.368702
STU00301,Darsh Mittal,darsh301@college.ac.in,+918009774038,7.25,"photoshop, flutter, vue.js, react, express.js, django",B.Tech IT,IIT Kharagpur,Hyderabad,general,0,"JP Morgan, Google, Meta, McKinsey, Amazon, PhonePe, Axis Bank, HDFC Bank",https://github.com/darshmittal301,,76.7,2025-10-28,3,75553,No,False,False,5,2025-09-02T14:12:36.369701
STU00302,Shaurya Thakur,shaurya.thakur@student.edu,2496455022,8.24,"node.js, r, penetration testing, ethical hacking, firewall, network security, pandas, adobe illustrator",MCA,BMS College,Delhi,general,0,"Ola, EY, Wipro, Infosys, Deloitte, Freshworks, Flipkart",https://github.com/shauryathakur302,,72.2,2025-11-29,3,25859,No,False,True,4,2025-09-10T14:12:36.369701
STU00303,Ajay P. Mehta,ajay.mehta@student.edu,+918747592741,8.34,"kubernetes, penetration testing, firewall, ethical hacking, cryptography, react, machine learning, project management",B.Tech ECE,BMS College,Gurgaon,general,0,"Infosys, Cognizant, Freshworks, ICICI Bank, KPMG",,https://linkedin.com/in/ajay-mehta-303,66.0,2025-11-01,6,73413,Yes,False,True,21,2025-09-23T14:12:36.369701
STU00304,Ira G. Aggarwal,iraaggarwal304@email.com,9216186592,7.84,"aws, figma, c++, java, docker",B.Tech CSE,IIT Bombay,Pune,general,3,"Cognizant, JP Morgan, BYJU'S",https://github.com/iraaggarwal304,https://linkedin.com/in/ira-aggarwal-304,83.1,2025-12-24,6,51660,No,False,True,10,2025-09-04T14:12:36.369701
STU00305,Anika Sharma,anikasharma305@email.com,00215631899,8.68,"photoshop, ui/ux design, sap",B.Tech CSE,SRM Chennai,Ahmedabad,general,0,"KPMG, Wipro, Deloitte, Flipkart, Infosys, TCS",https://github.com/anikasharma305,,82.9,2025-11-23,6,76093,Preferred,False,True,24,2025-09-11T14:12:36.370700
STU00306,Pari Rajput,rajput.pari@gmail.com,2601988478,7.5,"tensorflow, cassandra, ios, pytorch",B.Tech CSE,IIT Delhi,Jaipur,female,0,"Axis Bank, Accenture, BYJU'S, Microsoft, Ola, Wipro, Apple",https://github.com/parirajput306,,62.7,2025-11-29,3,69132,No,False,True,2,2025-09-12T14:12:36.370700
STU00307,Arjun X. Jain,jain.arjun@gmail.com,+918564388956,8.61,"aws, swift, google cloud, penetration testing, firewall, ethical hacking, network security, sap",MBA,IIT Bombay,Pune,general,1,"Deloitte, PhonePe, Apple, PwC, Freshworks",,https://linkedin.com/in/arjun-jain-307,90.1,2025-12-06,6,74034,Yes,False,True,12,2025-09-21T14:12:36.370700
STU00308,Daksh Aggarwal,dakshaggarwal308@email.com,+916990341106,7.41,"sketch, mysql, spring boot, c#, angular, vue.js, xamarin, django",B.E Computer Science,IIT Kanpur,Hyderabad,female,2,"KPMG, Accenture, Infosys, PhonePe, McKinsey, Zomato, Tech Mahindra",https://github.com/dakshaggarwal308,https://linkedin.com/in/daksh-aggarwal-308,94.9,2025-11-06,6,56088,No,False,True,17,2025-08-28T14:12:36.370700
STU00309,Dev Joshi,devjoshi309@email.com,+918922571089,8.1,"reinforcement learning, rust, computer vision, mongodb, natural language processing",B.E Computer Science,PES University,Bangalore,general,1,"HCL Technologies, Netflix, Ola, Morgan Stanley, Freshworks, Axis Bank, Wipro",https://github.com/devjoshi309,https://linkedin.com/in/dev-joshi-309,88.3,2025-12-21,3,60262,Preferred,False,True,15,2025-09-18T14:12:36.371699
STU00310,Arnav X. Chauhan,arnav.chauhan@student.edu,02872972233,8.25,"sketch, photoshop, android, wireframing, ui/ux design, react, power bi, php, xamarin, pandas, adobe illustrator",M.Tech AI/ML,IIT Madras,Noida,general,2,"Freshworks, Deloitte, Zomato",https://github.com/arnavchauhan310,https://linkedin.com/in/arnav-chauhan-310,64.4,2025-10-29,3,50867,Preferred,False,False,4,2025-09-25T14:12:36.371699
STU00311,Myra Shah,shah.myra@gmail.com,9969441266,9.05,"azure, reinforcement learning, node.js, wireframing, firewall, tensorflow, angular, vue.js, react, machine learning, flask, django",M.Tech CSE,NIT Surathkal,Pune,general,0,"Cognizant, Netflix, Infosys, Accenture, Google, Paytm, Unacademy, McKinsey",,https://linkedin.com/in/myra-shah-311,76.9,2025-11-10,12,23503,No,False,False,8,2025-09-22T14:12:36.371699
STU00312,Sneha Agarwal,sneha312@college.ac.in,+914064865906,8.7,"aws, ios, mysql, python, kubernetes, google cloud, terraform, ui/ux design, ansible, vue.js, docker",M.Tech AI/ML,IIT Delhi,Kolkata,rural,3,"HDFC Bank, Netflix, PhonePe, Deloitte, Goldman Sachs, Accenture, Flipkart",https://github.com/snehaagarwal312,https://linkedin.com/in/sneha-agarwal-312,94.7,2025-11-14,3,70056,No,True,False,14,2025-08-28T14:12:36.371699
STU00313,Sara I. Sharma,sara.sharma@student.edu,01836877956,6.25,"ios, elasticsearch, postgresql, aws, python, java, mongodb, redis, business analysis",MCA,NIT Warangal,Delhi,general,1,"PwC, Freshworks, Google, JP Morgan, HDFC Bank, Flipkart",,https://linkedin.com/in/sara-sharma-313,84.6,2025-12-07,12,68354,Preferred,False,False,23,2025-09-21T14:12:36.372700
STU00314,Myra Chopra,myrachopra314@email.com,05771363748,8.71,"android, penetration testing, wireframing, pytorch, tableau, machine learning, deep learning",B.Tech CSE,IIT Kharagpur,Bangalore,general,0,"Axis Bank, Wipro, HDFC Bank, Goldman Sachs, PwC, Freshworks, Netflix, Accenture",https://github.com/myrachopra314,https://linkedin.com/in/myra-chopra-314,83.1,2025-12-08,6,60945,Yes,False,True,20,2025-09-08T14:12:36.372700
STU00315,Nikhil Goel,nikhilgoel315@email.com,+912804117978,7.07,"terraform, pandas, express.js, azure, sap",B.Tech IT,IIT Delhi,Gurgaon,female,0,"McKinsey, HCL Technologies, Netflix, Microsoft",https://github.com/nikhilgoel315,https://linkedin.com/in/nikhil-goel-315,92.9,2025-12-14,12,26732,Yes,False,True,7,2025-09-15T14:12:36.372700
STU00316,Anika T. Jindal,anikajindal316@email.com,05214825960,7.27,"photoshop, jenkins, google cloud, ansible, docker, sap",B.Tech CSE,NIT Calicut,Kolkata,female,0,"Zomato, McKinsey, Morgan Stanley, Freshworks, Microsoft",https://github.com/anikajindal316,https://linkedin.com/in/anika-jindal-316,73.9,2025-11-07,3,68103,Preferred,False,True,18,2025-09-13T14:12:36.372700
STU00317,Amit Jindal,amitjindal317@email.com,+911467402323,8.91,"photoshop, reinforcement learning, python, computer vision, natural language processing",M.Tech AI/ML,BMS College,Hyderabad,rural,0,"TCS, Morgan Stanley, Netflix, Accenture, JP Morgan, ICICI Bank, Wipro",https://github.com/amitjindal317,https://linkedin.com/in/amit-jindal-317,87.3,2025-12-05,12,53727,Yes,True,False,16,2025-09-08T14:12:36.372700
STU00318,Rekha Chopra,rekha.chopra@student.edu,3684579580,6.72,"sketch, figma, postgresql, numpy, google cloud, ui/ux design, angular, machine learning, adobe illustrator",B.E Computer Science,RV College,Mumbai,general,1,"BYJU'S, ICICI Bank, HDFC Bank, Amazon, Google",https://github.com/rekhachopra318,,66.9,2025-11-22,3,47096,No,False,False,2,2025-09-25T14:12:36.373698
STU00319,Sneha Chopra,snehachopra319@email.com,7741871078,7.68,"c++, power bi, tableau, pandas, project management",MCA,NIT Calicut,Chennai,rural,0,"Netflix, Amazon, Tech Mahindra, Accenture",https://github.com/snehachopra319,https://linkedin.com/in/sneha-chopra-319,67.3,2025-12-01,6,27086,No,True,True,2,2025-09-23T14:12:36.373698
STU00320,Ajay Patel,ajay.patel@student.edu,+917644968657,8.68,"android, reinforcement learning, python, c++, rust, php, react native, ansible, terraform, javascript",MCA,BMS College,Chennai,general,4,"PwC, Meta, Microsoft, Tech Mahindra, ICICI Bank",,https://linkedin.com/in/ajay-patel-320,86.5,2025-11-04,3,46644,No,False,False,23,2025-09-21T14:12:36.373698
STU00321,Vivaan Singh,singh.vivaan@gmail.com,+912008602081,7.67,"ui/ux design, excel, javascript, project management",B.Tech IT,Manipal Institute,Chennai,general,2,"Amazon, EY, Apple, Axis Bank, Google, Unacademy, BYJU'S",https://github.com/vivaansingh321,https://linkedin.com/in/vivaan-singh-321,61.7,2025-12-09,12,29365,Yes,False,False,12,2025-09-19T14:12:36.373698
STU00322,Aarav R. Aggarwal,aggarwal.aarav@gmail.com,0669671964,7.77,"penetration testing, c#, ethical hacking, firewall, cryptography, network security, redis, flask",B.Tech ECE,IIT Delhi,Noida,rural,1,"Flipkart, Paytm, Amazon, PwC, Accenture, BYJU'S",https://github.com/aaravaggarwal322,https://linkedin.com/in/aarav-aggarwal-322,61.4,2025-12-08,6,59587,Yes,True,True,11,2025-09-21T14:12:36.374698
STU00323,Ajay Mehta,ajay323@college.ac.in,2737827436,6.36,"mysql, postgresql, excel, oracle, ui/ux design, mongodb, redis, sap",MCA,NIT Surathkal,Pune,rural,1,"McKinsey, Cognizant, Unacademy",https://github.com/ajaymehta323,,92.1,2025-12-07,6,54313,Yes,True,False,14,2025-09-06T14:12:36.374698
STU00324,Arjun Aggarwal,arjun.aggarwal@student.edu,+919547921251,7.04,"numpy, r, cassandra, docker, neural networks",MBA,VIT Vellore,Hyderabad,reserved,1,"Apple, HDFC Bank, EY, PhonePe, Freshworks, Deloitte",https://github.com/arjunaggarwal324,https://linkedin.com/in/arjun-aggarwal-324,69.5,2025-11-13,12,16990,Preferred,False,True,12,2025-08-31T14:12:36.374698
STU00325,Darsh Kapoor,darshkapoor325@email.com,01140049264,6.63,"penetration testing, ethical hacking, c#, power bi, cryptography, ansible, network security, mongodb, sap",B.Tech CSE,VIT Vellore,Kolkata,general,1,"Microsoft, Paytm, EY",,,89.4,2025-12-19,3,39304,No,False,False,18,2025-09-11T14:12:36.374698
STU00326,Arnav O. Chauhan,arnav326@college.ac.in,9130858182,7.32,"ios, jenkins, terraform, vue.js, docker, pandas",B.Tech IT,NIT Warangal,Ahmedabad,general,2,"Netflix, HCL Technologies, Paytm, ICICI Bank, Ola",,https://linkedin.com/in/arnav-chauhan-326,70.8,2025-12-21,6,25925,No,False,False,22,2025-09-02T14:12:36.374698
STU00327,Ayaan Iyer,ayaan327@college.ac.in,+919218714166,8.34,"spring boot, cassandra, vue.js, machine learning, business analysis, django",M.Tech CSE,IIT Roorkee,Kolkata,rural,2,"Meta, ICICI Bank, PwC, BYJU'S, Google, JP Morgan, Paytm",,https://linkedin.com/in/ayaan-iyer-327,71.7,2025-11-12,3,66791,No,True,True,17,2025-09-25T14:12:36.375700
STU00328,Aadhya Tiwari,tiwari.aadhya@gmail.com,+910403103679,9.47,"android, python, c++, rust, ruby, redis, go, sap",M.Tech CSE,VIT Vellore,Noida,reserved,4,"Flipkart, Goldman Sachs, Tech Mahindra, Apple, HCL Technologies, Deloitte",,https://linkedin.com/in/aadhya-tiwari-328,91.5,2025-12-20,6,22694,Preferred,False,True,5,2025-09-06T14:12:36.375700
STU00329,Advaith Mittal,advaithmittal329@email.com,+916295398444,7.64,"spring boot, penetration testing, firewall, power bi, cryptography, network security, tableau",B.Tech CSE,NIT Warangal,Jaipur,general,0,"Accenture, Meta, Infosys",https://github.com/advaithmittal329,https://linkedin.com/in/advaith-mittal-329,60.5,2025-11-12,3,74173,No,False,True,16,2025-09-20T14:12:36.375700
STU00330,Krishna Thakur,krishna330@college.ac.in,4554771732,7.24,"reinforcement learning, computer vision, react native, react, neural networks, powerpoint, machine learning, natural language processing, project management",B.Sc Computer Science,PES University,Hyderabad,rural,0,"Apple, TCS, Goldman Sachs, EY, HDFC Bank, Flipkart",https://github.com/krishnathakur330,https://linkedin.com/in/krishna-thakur-330,94.0,2025-11-20,3,44867,No,True,False,9,2025-09-26T14:12:36.375700
STU00331,Darsh K. Nair,darsh331@college.ac.in,+910656522121,9.1,"elasticsearch, numpy, r, pytorch, ansible, redis, business analysis, machine learning, deep learning",M.Tech CSE,Manipal Institute,Chennai,reserved,1,"Axis Bank, Paytm, HCL Technologies, PhonePe, ICICI Bank, Infosys",https://github.com/darshnair331,https://linkedin.com/in/darsh-nair-331,79.2,2025-12-20,6,44318,Yes,False,True,24,2025-09-05T14:12:36.376698
STU00332,Ravi L. Tiwari,ravi.tiwari@student.edu,7842788707,9.11,"ios, swift, excel, flutter, react native, kotlin, redis, scikit-learn, xamarin, azure",B.Tech CSE,BMS College,Hyderabad,general,0,"Accenture, Axis Bank, JP Morgan",https://github.com/ravitiwari332,,71.4,2025-12-01,3,70693,No,False,False,23,2025-09-22T14:12:36.376698
STU00333,Meena B. Rajput,meena333@college.ac.in,+916410831913,8.97,"sketch, postgresql, penetration testing, ethical hacking, cryptography, vue.js, network security, azure, adobe illustrator",B.E Computer Science,BITS Pilani,Gurgaon,general,1,"Meta, Infosys, Ola, HCL Technologies, Zomato",,https://linkedin.com/in/meena-rajput-333,83.4,2025-12-22,3,69971,Yes,False,False,2,2025-09-05T14:12:36.377206
STU00334,Khushi Saxena,saxena.khushi@gmail.com,09223565272,6.81,"xamarin, mysql, elasticsearch, r, oracle, cassandra, ruby, cryptography, tensorflow, redis",B.Tech CSE,BITS Pilani,Delhi,general,1,"HDFC Bank, Google, Tech Mahindra, HCL Technologies",,https://linkedin.com/in/khushi-saxena-334,72.6,2025-12-19,3,50922,Preferred,False,True,11,2025-09-11T14:12:36.377206
STU00335,Sai Sharma,sharma.sai@gmail.com,2059551001,8.7,"jenkins, java, angular, ansible, docker",B.E Computer Science,Manipal Institute,Mumbai,female,3,"JP Morgan, Wipro, HCL Technologies, Tech Mahindra, Unacademy, Deloitte, HDFC Bank, Netflix",,,62.8,2025-11-24,3,44257,No,False,True,6,2025-09-04T14:12:36.377206
STU00336,Vihaan Pandey,vihaan336@college.ac.in,3869061462,7.84,"aws, jenkins, penetration testing, network security, javascript",B.Sc Computer Science,IIIT Hyderabad,Noida,general,0,"TCS, EY, Meta",https://github.com/vihaanpandey336,https://linkedin.com/in/vihaan-pandey-336,90.8,2025-12-25,12,54928,Yes,False,True,14,2025-09-09T14:12:36.377206
STU00337,Sunita Nair,sunitanair337@email.com,04925176980,6.72,"excel, ruby, power bi, react native, angular, powerpoint, scikit-learn, sap, project management",B.Tech ECE,BITS Pilani,Gurgaon,reserved,1,"Amazon, Paytm, JP Morgan, Morgan Stanley, Ola, Accenture",,https://linkedin.com/in/sunita-nair-337,81.0,2025-11-21,3,35579,Preferred,False,False,5,2025-09-09T14:12:36.378216
STU00338,Khushi X. Agarwal,khushiagarwal338@email.com,9876235472,8.3,"sketch, aws, jenkins, google cloud, ansible, django, sap",B.Tech IT,PES University,Gurgaon,general,0,"Morgan Stanley, Goldman Sachs, PwC, Swiggy, Unacademy, Paytm",,https://linkedin.com/in/khushi-agarwal-338,85.5,2025-12-21,12,29863,Preferred,False,False,1,2025-09-01T14:12:36.378216
STU00339,Ayaan Chauhan,ayaanchauhan339@email.com,+913876580787,9.16,"node.js, spring boot, computer vision, angular, react, ansible, ui/ux design, machine learning, flask, django, natural language processing",M.Tech CSE,NIT Warangal,Hyderabad,general,4,"Amazon, BYJU'S, PwC, KPMG",https://github.com/ayaanchauhan339,https://linkedin.com/in/ayaan-chauhan-339,86.0,2025-12-13,12,65213,Yes,False,False,9,2025-09-26T14:12:36.378801
STU00340,Aditya Joshi,adityajoshi340@email.com,+915653046001,8.13,"reinforcement learning, computer vision, flask, express.js, django, natural language processing",B.Tech IT,IIT Roorkee,Bangalore,reserved,2,"Deloitte, Goldman Sachs, Wipro",https://github.com/adityajoshi340,https://linkedin.com/in/aditya-joshi-340,86.9,2025-11-04,3,25996,Yes,False,False,5,2025-09-01T14:12:36.378801
STU00341,Reyansh Jindal,jindal.reyansh@gmail.com,+915572332849,7.31,"sketch, photoshop, figma, penetration testing, tensorflow, ui/ux design, django",MBA,NIT Surathkal,Ahmedabad,general,1,"Axis Bank, Tech Mahindra, Cognizant",https://github.com/reyanshjindal341,https://linkedin.com/in/reyansh-jindal-341,94.5,2025-12-03,12,18424,Preferred,False,True,9,2025-09-06T14:12:36.379340
STU00342,Pooja Mittal,pooja.mittal@student.edu,+916298106456,7.97,"sketch, xamarin, swift",MBA,NIT Calicut,Noida,general,1,"Accenture, ICICI Bank, Morgan Stanley, Unacademy, Goldman Sachs, Paytm, Apple, JP Morgan",https://github.com/poojamittal342,https://linkedin.com/in/pooja-mittal-342,67.7,2025-12-11,3,41519,Preferred,False,True,4,2025-09-06T14:12:36.379340
